id,date,rank,points,comments,title,url
46625766,"Thursday, January 15, 2026",19,33,18,Billion-Dollar Idea Generator,https://www.pivotgpt.ceo/
46626826,"Thursday, January 15, 2026",3,25,40,Is passive investment inflating a stockmarket bubble?,https://www.economist.com/finance-and-economics/2026/01/14/is-passive-investment-inflating-a-stockmarket-bubble
46628484,"Thursday, January 15, 2026",8,6,10,Tech Writers Are About to Become Obsolete,https://kibbler.dev/blog/turn-your-codebase-into-a-knowledge-base
46628185,"Thursday, January 15, 2026",26,2,1,Raising Kids After Knowledge Became a Commodity,https://liorz.github.io/blog/posts/fallacy-education-for-academic-excellence/
46632955,"Thursday, January 15, 2026",11,31,41,"Nvidia Reportedly Ends GeForce RTX 5070 Ti Production, RTX 5060 Ti 16 GB Next",https://www.techpowerup.com/345224/nvidia-reportedly-ends-geforce-rtx-5070-ti-production-rtx-5060-ti-16-gb-next
46634263,"Thursday, January 15, 2026",25,20,19,European military personnel arrive in Greenland as Trump says US needs island,https://www.bbc.com/news/articles/cd0ydjvxpejo
46566065,"Thursday, January 15, 2026",13,13,3,Investing with GIFs: A Visual Guide,https://www.ft.com/content/9b1ff0b8-a1e8-4869-8d61-620c5ed32d35
46635810,"Thursday, January 15, 2026",4,9,2,AI Tool Archive,https://aitoolarchive.com/
46639805,"Thursday, January 15, 2026",27,3,1,"There Is No Green Transition, and This Book Explains Why",https://www.highspeed.blog/too-much-more/
46547400,"Thursday, January 15, 2026",30,20,2,"Virginia Faulkner: Writer, editor, and ghostwriter?",https://lithub.com/virginia-faulkner-writer-editor-and-ghostwriter/
46641007,"Friday, January 16, 2026",27,11,2,An Unfolding Scientific Revolution in Cosmology,https://economicsfromthetopdown.com/2026/01/15/an-unfolding-scientific-revolution-in-cosmology/
46643070,"Friday, January 16, 2026",2,35,42,The Myth of the ThinkPad,https://innovintageblog.wordpress.com/2026/01/08/the-myth-of-the-thinkpad/
46646490,"Friday, January 16, 2026",30,10,2,Astro is joining Cloudflare,https://blog.cloudflare.com/astro-joins-cloudflare/
46648978,"Friday, January 16, 2026",26,43,12,ICE takes back into custody man released for violation of rights,https://apnews.com/article/minnesota-immigration-crackdown-25e46910fcc62fbf5ab341905af9891c
46652299,"Friday, January 16, 2026",7,8,8,The Engineer to Executive Translation Layer,https://refactoring.fm/p/the-engineer-executive-translation
46655034,"Saturday, January 17, 2026",23,5,0,Gas Town is a glimpse into the future,https://johncodes.com/archive/2026/01-16-a-glimpse-into-the-future/
46653388,"Saturday, January 17, 2026",6,53,5,The Dilbert Afterlife,https://www.astralcodexten.com/p/the-dilbert-afterlife
46657947,"Saturday, January 17, 2026",10,5,0,The App You Should Be Building Is You,https://www.gnanaguru.com/p/the-app-you-should-be-building-is
46577968,"Saturday, January 17, 2026",20,22,14,Finding and Fixing a 50k Goroutine Leak That Nearly Killed Production,https://skoredin.pro/blog/golang/goroutine-leak-debugging
46658166,"Saturday, January 17, 2026",4,3,1,Rust for C Programmers,https://rust-for-c-programmers.com
46661308,"Saturday, January 17, 2026",7,31,26,"Show HN: Minikv – Distributed key-value and object store in Rust (Raft, S3 API)",https://github.com/whispem/minikv
